perfil,horizonte,tA_perc,ctc_cmolc,ativ_arg_cmolc,grosseiros_perc,pH,c_org_perc,na_cmolc,exch.Na,k_cmolc,ca_cmolc,mg_cmolc,al_cmolc,sat_al_perc,p_ppm,SQI_perc,Back et al.
55,Bt2,63,7.6,12.06,4,5.6,0.38,0.03,0.39,0.03,0.4,0.4,2.3,82,4,28.57,102
55,BC1,65,6.6,10.15,1,5.5,0.23,0.02,0.3,0.04,0.2,0.2,2,87,4,14.29,102
55,BC2,63,7.3,11.59,5,5.5,0.2,0.02,0.27,0.04,0.3,0.3,2.4,86,3,14.29,112
55,C,43,9.3,21.63,43,5.5,0.14,0.04,0.43,0.07,0.5,0.5,4.3,88,7,14.29,140
56,A1,69,12.3,17.83,0,5.1,2.05,0.02,0.16,0.19,0.9,0.9,3.1,74,1,42.86,83
56,A2,72,9.3,12.92,0,5.2,1.22,0.02,0.22,0.04,0.1,0.1,3.3,94,1,28.57,83
56,AB,70,9.7,13.86,0,5.1,1.15,0.02,0.21,0.02,0.1,0.1,3.2,97,1,28.57,83
56,BA,66,8.8,13.33,0,5.1,1.05,0.02,0.23,0.02,0.1,0.1,2.9,97,1,28.57,83
56,Bt1,70,8.3,11.86,0,5.2,0.8,0.02,0.24,0.02,0.1,0.1,2.8,97,1,21.43,83
56,Bt2,73,5.7,7.81,0,5.4,0.37,0.02,0.35,0.02,0.2,0.2,0.9,82,2,28.57,99
56,Bt3,72,6,8.33,0,5.5,0.17,0.01,0.17,0.02,0.2,0.2,1.1,85,4,21.43,102
56,BC,70,6.4,9.14,0,5.4,0.16,0.01,0.16,0.02,0.3,0.3,1.4,82,5,21.43,102
56,C1,51,7.8,15.29,2,5.4,0.12,0.03,0.38,0.02,0.6,0.6,1.9,73,6,28.57,152
